,label,location,tweet_text
279,,,Imagine not being okay with gay marriage lol. Like how much of an asshole do you actually need to be
280,,,"@MMFlint In South Korea, gay marriage is illegal."
281,,,@HoosierInfidel You mean the discrimination against gay marriage?
282,,,I'm against gay marriage. I think marriage is a sacred union between a man and a pregnant woman.
283,,"Glasgow, Scotland",@Willtstew @ShaneClaiborne @pdavidy8 @JohnFea1 It's not orthodox to promote gay marriage.
284,,,@J_Fonte28 WE BEGGED THEM ON THE JOB BUT THEY SAID LATINO'S FOR TRUMP BECAUSE OBAMA VOTED FOR GAY MARRIAGE NOW WE GOT BIG BIG PROBLEMS
285,,,"@shane85 @Frank_Turek Also, Jesus didn’t approve of gay marriage and I am sure he would be against abortion."
286,,Hell,Gay marriage is bad cuz I want to buy them.
287,,,@thinkrightuk @TjayJT Gay marriage was the only thing he got right - and even then the LibDems say they were the instigators.
288,,United States,@MConsuella That is a good point. The ACA and gay marriage bounced back to Supreme Court.
289,,ms,"“how can I not support gay marriage? i’ll never be in a wedding if not” @katie2095 

WHEEZING"
290,,,@ColloquySussex But but!! He made gay marriage legal my hero!!! We love unicorns ok
291,,,@liserg14 @BirdMiler @CNN They are in a country that doesn't allow gay marriage. What idiots
292,,belfast,@AllisonMorris1 The Jamie Bryson i want my gay marriage said on Irish agreement.
293,,oc account,"Narcissistic, Gay, 25 Years Old, No God, No Love, Dead Before Marriage, I LOVE to vape, Fuck You"
294,,"Saskatchewan, Canada","@AtheistRepublic criticism of Islam, LGBT movement and gay marriage, alchohol, weed, sex education, writings of freethinkers and many more"
295,,Earth,@in_gloria @tedlieu @CNNnewsroom @AnaCabrera What's wrong with gay marriage?
296,,pissing in the wind ,@Leftist_Takes They literally dont have gay marriage come the fuck on
297,,she/her • 20 • bi,"other countries: legalizing gay marriage 
italy: we should uuuuuhhh abolish civil unions bc they are a threat to traditional families"
298,,memphis,"What would I do if a Gay man was attracted to me ? Let me respond, by just saying. I wouldn't be applying for a marriage license."
299,,N.S.W,@australian I’m sure he was on his moral high horse about gay marriage and all along he’s doing this. Come down from mount pias you #grub
300,,New York,In the car with my friend and she said she doesn’t support gay marriage... marty I’m scared
301,,"Plum Island, Long Island NY","@PossiblyS4mij0 Chic fillet being against Gay marriage, thats something to protest over.. Christians be crazy"
302,,Orlando,I’ll pay anyone to write my paper on gay marriage
303,,"Guernsey, Channel Islands",@Reneraven5 @sgmarsc Still not an argument against gay marriage.  Try again.
304,,,"Matthew 17:38 - ""Pee pee dost not go into poo poo.""

How can you still be pro gay marriage??"
305,,"Saint Paul, Minnesota USA","@cee_jaaaaay We should let people die of marriage, though, TBH.

As we're oppressed by the poor.

In gay FEMA camps."
306,,,"@aigkenham @AiG Some churches obstinate stance against gay marriage 
is part of the reason the new generations
are leaving.
#EmptyThePews"
307,,,"Gay marriage is legal in ''6'' states. Having sex with a horse is legal in ''23''. Good going, America."
308,,"Huntsville, AL",@LawdBison Remember when they first legalized gay marriage? Try going to church and that’s in the sermon every Sunday
309,,Midwest,"Every major objection to gay marriage is based on religion.

#ReligionSucks #LGBT
#atheist"
310,,,@DJBoatHecker Interracial gay marriage? It's more likely than you think
311,,,@diggy_simmons Gay marriage
312,,♡ 백민 / 됴준 / OT9 / CBX ♡,@xiunnamin is gay marriage legal in korea?
313,,,"@politico Now that gay marriage is the law of the land, it's time to fix the nagging problems like this one."
314,,"Bristol, UK","@chadfelixg Didnt loads of Conservatives, including Pence, support an amendment banning gay marriage? How very tolerant. @juche_box"
315,,"New York, NY",@chadfelixg ... and the next step would be that reducing risky behavior among gay men and promoting marriage equality would go hand in hand.
316,,The Basement ,Lmfaooooo yo... Caitlyn Jenner said she doesn’t support gay marriage.
317,,NYG | NYK | NYR | NYY,Gay marriage should be illegal
318,,"Hamden, CT","@michaeljkellyjr @60Minutes @NRA They only want states’ rights when it comes to gay marriage, abortion and birth control."
319,,,@agentlinton Gay marriage
320,,"Flint, MI",@vicecanada Child sex is the whole point of pushing gay marriage. #MAGA
321,,Right Here,"Everyone can thank me for fried chicken and gay marriage!!
That's because of me!!!
#ForTheFakePodcast"
322,,"Kalifornia, USA",@ABC The Trump administration is pro gay marriage dumbass.
323,,"Hurley, Mississippi",@aigkenham @AiG What I'd like to know is: How does a gay marriage affect you?
324,,"Tulelake, California","Just got told by a radfem that Jenner doesn't support gay marriage. Radfems don't either, non-point, though Jenner can shut up to."
325,,,@MADE__USA @TruthFeedNews I guess he forgets that obama was against gay marriage until after he was re-elected
326,,"Lake Sarasota, FL",@thehill Isn’t gay marriage banned in Korea? How about eat your heart out Korea 🤔
327,,"Halls Creek, Western Australia","@AmandeepBhogal The conservatives as a party voted against gay marriage, what are you talking about"
328,,,"@CNNPolitics   ""Not like gay marriage""   bigoted comparison."
329,,"Atlanta, GA","@alon_levy Are you one of those who laments the loss of edginess in gay rights activism, and downplays marriage equality as an achievement?"
330,,Reno NV,"A political article, a likely reference to his anti-gay-marriage screeds.
So if he has issues with this, he's got issues w/Hispanics, Black"
331,,,my grandma is against gay marriage but she’s actually not really homophobic or transphobic at all and that’s good enough for me
332,,Some where out in the country!,"@photoinchicago @noraconnor89 I'm sure you voted for tyrant Hussein, that believes in KILLING babies, gay marriage isn't that Un Christian?"
333,,"Pennsylvania, USA",im not racist i just think that GAY MARRIAGE should be between a MAN and a WOMAN :////////////////
334,,chrys ♡ ! liv ! leo ! ally ^^,@prdstuans at least it aint t**** and we got gay marriage
335,,"Westmibster, London",Why aren't there more patriotic musicals arguing against gay marriage?
336,,,@Gay_Alcorn Nope. Once you use your political position to moralise about the sanctity of marriage you’re fair game
337,,"Rotterdam, Nederland",@ADnl I only support gay marriage of both chicks are hot... in dit geval uuuhhm ken net.. 😜
338,,Kuala Lumpur ,@johanharriz But gay marriage arent legal here. Why u need to take kursus
339,,,As I'm reading this article about Nan and Gay Talese's marriage I can't help but imagine all the quotations voiced in British accents.
340,,asleep above the stars,"people will do anything for sales. support blm, gay pride. who had the gay pride flag in their logo when gay marriage was still illegal?"
341,,on the amigo via twittbot.net,"they had waited many years for gay marriage was legal in Japan. With applause, a kiss sealed the beginning of a hard, beautiful, long"
342,,,@BillyCorben @CatholicMiami @sppslife Does gay marriage rights to adopt children in the US?
343,,,First they finally legalized gay marriage and now they have the best space program name; bless
344,,"Laredo/San Antonio, TX",@DrYardSale @EricHolder If they really seriously wanted to repeal gay marriage they would've done it by now
345,,"Queens, NY",@Occulence I’m a gay man in an interracial marriage we are marginalized bodies go fuck yourself.
346,,"Laredo/San Antonio, TX",@DrYardSale @EricHolder You really seriously think SCOTUS would repeal gay marriage? What planet are you living on?
347,,,Message to gop- next bill- no gay marriage thank you
348,,,why is people still trying to take away gay marriage???? can't you let gay people be happy for once???? really? this shit gives me anxiety
349,,Twitter,@LunarPandorium They legislatively repealed Gay Marriage this past week.
350,,Watching MLB,@brianmctaggart Ask him about gay marriage
351,,Science -,@Independent Makes sense. The first Administration to ever come into being in the US supporting gay marriage
352,,,"@eelarson @Chris_1791 @guskenworthy @Adaripp You do realize that Trump was the first presidential candidate for gay marriage, right?"
353,,,love drought by beyoncé signed the bill for legalizing gay marriage
354,,Manchester,Are we going to get a Romero post-fight speech full of hateful homophobic comments about Australia gay marriage? #UFC221
355,,Peoples Republic of California,@GayPatriot @eelarson @Chris_1791 @guskenworthy @Adaripp Gay marriage isn’t even legal in South Korea.
356,,"Winnipeg, Manitoba","@MrFunkEdude @joerogan @nbc4i Moral turpitude,I was under the impression gay marriage is legal in the states"
357,,Moon Kingdom,"YOU GOT A MOON!
Gay Marriage is Legal in Australia!"
358,,,"I approve gay marriage, gay Divorce Court would be funny as hell."
359,,,"@sp1r1tharambe @NBCNews Why? Explain your position? Unless you're gay,gay marriage has no effect on you"
360,,United States,@joerogan @nbc4i It okay to be gay and same sex marriage
361,,,"@BreitbartNews I wish these idiots would read, their beloved Hillary and Bill voted against gay marriage."
362,,"Whangarei, New Zealand",@steviejvic That’s rich considering your countries only just legalised gay marriage
363,,,@carlieraejepsen is why we have gay marriage via @wubbstepp
364,,,"@vicecanada ""Come on, support gay marriage, all our fucked up weirdness will definitely stop there."""
365,,"Richmond, KY",@AmazingAye555 @JillBernadette3 @CNN So if you don't support gay marriage your automaticly a bigot and hate gay people? Just asking
366,,Australia,"@RachelBkr @Gay_Alcorn Marriage is between a man, a woman and the man’s personal assistant."
367,,Somewhere on planet Earth.,"@vicecanada Just like some people, including myself, have been predicting. Normalize gay marriage and pedophilia is next. :/"
368,,,"@splinter_news How about priest Molesters worse than gay marriage, no ones says shit, thats a sin."
369,,,@nickalaimo @Jayemmbee23 @snipy Gay marriage doesn't exist. It is marriage.
370,,,"@AmericanHotLips @cuppycoco @lsarsour @CAIRNational @NPR @latimes 
So what does Allah say about gay marriage??"
371,,,@liamhawkins13 @briantquack @viper9183 @HummelTown @benshapiro Gay marriage doesn't exist. It is marriage.
372,,,@ShannonStarr88 @hmbr123 @eelarson @Chris_1791 @guskenworthy @Adaripp @POTUS Obama was anti gay marriage when he took office. Take it easy.
373,,,@thekman67 @joebferraro @HuffPost Gay marriage doesn't exist. It is marriage.
374,,,@Electroflxmusic @monkbot10 @astralmusick @SamSeder Gay marriage doesn't exist. It is marriage.
375,,In transit,@chadglasn @pnehlen Secretly I'll bet he does. It always works this way. The ones who scream loudest about gay marriage...
376,,DFW/Lubbock/Where My Stuff Is,Are there any married gay guys who don't talk about how difficult marriage is every 10 minutes?
377,,"Spartanburg, SC",Talking about gay marriage and my dad says: it’s all about being happy. Everyone doesn’t have to be interchangeable.
378,,"Riiiiight about here, Michigan","@misscalliecat @realDonaldTrump Good thing gay marriage is legal, or he'd die alone."
379,,♂️/ ゲイ,the guy who sold me his hacked 2DS has the gay marriage fire emblem fates patch installed. what a woke queen
380,,Mississippi,@thatsballin Pssssshhh.  Gay marriage grandstanding is soooo January 2018. We've moved on to allowing guns at college football games.
381,,everywhere I need to be,@KeelsJeff @SLSmith000 @Mikewiesner6 @realDonaldTrump Who supports gay marriage and drinks beer? #Dumbassery
382,,"Kissimmee, FL",Christian men are hypocritical in the way that they’re against same sex marriage yet worship a dude. That’s gay af. you gay
383,,,@PradRachael Roberts waded into the swamp on gay marriage and Obamacare
384,,¹⁵⁰⁷¹⁰ ♡ ¹⁷⁰⁹²³,@QuiPanda105 uhm yes lol the one that kept talking bs about gay marriage and stuff
385,,Cas-Bri-Ky,"“Gay marriage has been accepted in New York? C’mon Harry we’re moving” 

- Louis Tomlinson"
386,,"Foley, AL",@thehill In a country that doesn’t allow gay marriage. “Irony”
387,,,@joerogan @nbc4i That's unreal!! Gay marriage is legal
388,,Canada,Gay marriage isn't about rights. It's an assault on the family.
389,,Shepherds Glen Cemetery. ,"@joerogan @martian_munk @nbc4i This is at a Catholic School, gay marriage isn't accepted yet. This also doesnt look like a secular ceremony."
390,,"North Carolina, USA",The Council of Southerners have already made our first proclamation to ban Gay Marriage. Will our power be left unchecked?
391,,#gopies #knicks #U2,Commenting on the morality of gay marriage whilst he is happily using gay peoples taxes to pay a mistress hush money....?
392,,"The Haight, San Francisco",@danny_embargo @Amy_Siskind @der_bluthund Latently fascist? Was it legalizing gay marriage that tipped you off?
393,,,"@seangares @n0thing #cs_summit congrats on the marriage Sean, I’m still gay for u tho :)"
394,,,"@x_Nerf_This_x Simple answer; if their marriage was an illegal allowance by the previous gay moslem ""president"" - maybe not."
395,,,@JonathanMerritt If a Christian is anti-gay marriage they are rejecting the lives of gay people.
396,,,i alwyas tell myself i dont want  a marriage   but   im gay..
397,,Chicago/Augustana '19 #BLM,@EcchiQuen remember when you called me a faggot and told me you were against gay marriage
398,,Oklahoma,@ummmno21 Did you just ban gay marriage in bermuda?
399,,undetermined,@Peter_Fitz @smh Barnaby would have had to be pro same sex marriage and good on the Nats for evolving and employing gay people.
400,,"Corning, NY",@FoxNews I am sure that there will be a lesson for the Fox viewer with comparisons to gay marriage.
401,,"Philadelphia, PA USA",@ChrisMohler1 It's 2018 not 1970s. They live in the US where gay marriage is legal.
402,,LDN,How fucked is it that gay marriage was only made legal in 2013
403,,Edinburgh/Phoenix,"@EtienneJS Gay marriage is still illegal in NI, unlike any part of the USA."
404,,"reading,pa",@JRubinBlogger Dems want men in girls bathrooms and support gay marriage
405,,,@KaylaraOwl @JoshProgressive @KOMBUCHABABY @jimmy_dore Is this why she was openly against gay marriage up until 2012?
406,,,@docsoybel @HuffPost They are not denying something just bc someone is gay. It is for a gay marriage ceremony. There is a difference
407,,UB,"sunmi for president, gay marriage legalized in korea"
408,,"Cairo, Egypt",@Ruairi_of_Eire @spectatorindex And religion of nudity and gay marriage is watching and feeling disgusted 😂😂
409,,Greater Israel,@Captain_Linux @SkylarGasai gay marriage.
410,,,"Faith is the heroism of the intellect, I hope gay marriage will be legal in every state. ~Mark Henry"
411,,Glued to the Alt-right news!,RT .realDonaldTrump TERRIBLE! Left-Wingers OUTRAGED Britain Won’t Imperialistically Impose Gay Marriage Laws on Bermuda! Very bad. #maga
412,,,"Gay Marriage is now legal in Maryland, Maine and Washington."
413,,"Franklin, TN",Left-Wingers OUTRAGED Britain Won’t Imperialistically Impose Gay Marriage Laws on Bermuda
414,,"Madison Heights, MI","@BreitbartNews I remember, when they called me an intolerant homophobe for saying gay marriage was a slippery slope of moral decay."
415,,"Sacramento, CA",@treyinla Republicans that oppose gay marriage are most likely in the closet themselves.
416,,F Florida,@WPLGLocal10 What are Muslim views on gay marriage?
417,,"Newcastle, England",@woodburyjokers @Emmingott Why do you think that legalised gay marriage will make everyone gay?
418,,,@doutingthomas1 @DineshDSouza republicans care? So why are republicans generally the ones who are against gay marriage? Why did repubs...
419,,,@KaitlynSchiess @tim_fall Was it anti gay marriage?
420,,,i'm still in shock that someone was trying to compare gay marriage to the right to marry your step daughter
421,,"Drexel Hill, PA",@CuffyMeh I'm sure she's all about the gay marriage too.
422,,Not a pebble-dashed house.,@SimonSFranklin @DaveZW @CConcern Being 'gay' means you have sex outside the marriage of one man to one woman. Any such sex is sin.
423,,,"@JamesMartinSJ @USCCB Wow, something other than your love for gay marriage? It’s a miracle."
424,,,@PrinceHarris12 @AimeeDemaio @ACLU Why not ? Gay marriage is legal why would a wedding cake baker think gays dont want wedding cakes?
425,,,@RefuteFrMartin @JamesMartinSJ He’s looking for acceptance because he’s too scared to say that he wants gay marriage.
426,,babildone,@EpicStud55 gay marriage is illegal
427,,"New York, USA",@JimmyKimmelLive This is not the same thing as forcing a restaurant owner to support gay marriage.
428,,"Rockford, OH",@Makaylaaa_Ryaan Because gay marriage is frowned upon in Mercer county
429,,Somewhere Over The Rainbow,"@Cycer747 @HBnotHP 70% here are against it and about 40 would outright make it illegal if they could
And that is only on gay marriage"
430,,England (The Hague & Lisbon),@SohrabAhmari But didnt mention enforcing gay marriage in Mosques then??
431,,United States,@ABC7NY What is the Catholic rules/feelings towards gay marriage?
432,,"Illinois, USA",@vicecanada They didn't stop at gay marriage
433,,,Gay Marriage: Making A Mess All Over The City
434,,,@tippettalex1995 @chadfelixg Obama took his own sweet time to evolve on gay marriage- only supported it well into his second term
435,,,"@FrankieGraylock @smolpancake Yeah, not everyone likes gay marriage sadly"
436,,"Chesapeake Beach, MD","@Allen_Keith24 I’m not arguing that. I’m in favor of gay marriage, but many people do things like this solely for attention"
437,,,@JamesMartinSJ By this tweet you support gay marriage. Anathema Sit!
438,,Definitely Not Paris,@electra_woman @RedaMor_ @realDonaldTrump @nytimes That’s why ur cats support gay marriage.  Sorry dude.
439,,"Glasgow, Scotland",@andrewmatarazzo #AskAndrewM what’s your opinion on the legalisation of gay marriage in Australia
440,,,@love_poppet Pence opposes gay marriage and endorses conversion therapy.
441,,Kekistan,"@VP If they don't like it, why did they go to South Korea? Gay marriage isn't legal there and homosexuality is culturally anathema."
442,,,47. fuck yeah i believe in gay marriage it’s marriage
443,,,@GrantJKidney So basically not believing in gay marriage is the same as being a Nazi.
444,,,"@muveiI @heychoubae 2005, spain legalized gay marriage just to get married w/ romano,"
445,,,@michaelcoren @OntarioPCParty Devout Catholics are against abortion and gay marriage. Who knew?
446,,United States,@realDotardTrunp @BitOfJules My opinion of gay marriage is right as per the Bible.
447,,,"@Martina It's a Catholic school ;) Catholicism is pretty clear on gay marriage, find another job."
448,,,@eelarson @Chris_1791 @guskenworthy @Adaripp Trump is the first pro gay marriage President when they were elected.
449,,"England, United Kingdom",@trimberz @BBCNews Can you name which exactly right a gay person will be missing in civil partnership compared to marriage?
450,,,@iamwandasykes While I don't think it's right some institutions do not agree with gay marriage
451,,Sunbed,"@PaulaGlendinni3 Good for her, I really hope legislation will allow gay marriage in the not too distant future"
452,,Sunbed,@PaulaGlendinni3 I wish Northern Ireland would bring in gay marriage
453,,,@AliceAvizandum Accurate Alice!! This was proven when the topic of gay marriage came up before legalization in many countries.
454,,India,@Narayanan3 Gay marriage banned in India...
455,,,@dolores_mason @CNN Amen . Can't wait to get back to gay marriage and men peeing in the little girls bathroom.
456,,liverpool ,"Gay Marriage, because putting their ring in one hole just isn't enough #marriage #MarriedLife"
457,,"Rochester, NY",@mallow610 I’d rather have gay marriage illegal as long as we had the old update
458,,"Bulawayo, Zimbabwe",@CNN Gay rights and same marriage is abuse and should be stopped. Gay Rights Are Not Human Rights At All. Stop Advocating for Gay Rights CNN
459,,,"Yesterday I tried to explain to my mom that in a gay marriage between two man, both of them are husbands. 

There is no wife."
460,,Smoky Mountains,"@chadfelixg 

Pence is the anti-Trump. I’m sure gay marriage isn’t really on his personal radar. 

Politically it could be useful."
461,,,Its weird to think that gay marriage has only been legal in the entire US for like 2 years
462,,Barbados,@chadfelixg I can't give my opinion on Gay marriage because I know I would be biased since I do not even believe in Marriage period.
463,,Somewhere Out There.,"@Yendormai @RemainNamele55 @chadfelixg Actually, Obama said in 2008 that he was against gay marriage."
464,,,@guskenworthy @Adaripp I’m a Trump supporter who supports gay marriage and thinks you guys are great. Good luck!
465,,Boston,"@RemainNamele55 @chadfelixg It was 2000. So, you’re agreeing Pence is against gay marriage?"
466,,Refugee Camp,"The ""cold war"" began when Stalin wouldn't agree to gay marriage at Potsdam."
467,,,"@Toastyist @Tips_Of_Love @tnt123dynamite @benshapiro @ReaganBattalion Wedding cakes were. 

Gay marriage doesn't exist. It is marriage."
468,,,@yitzahbel This is like dolce &amp; gabbana being against gay marriage
469,,USA,@sallykohn Donald trump was the first president to come Into office and not opposed gay marriage on day one.
470,,Chicago area,"@Chris_1791 @InclusiveLucie Come on, Trump still does not approve of gay marriage. Never has."
471,,"Oklahoma City, OK",@omeagoz @Tips_Of_Love @tnt123dynamite @benshapiro @ReaganBattalion Was gay marriage cakes on his?
472,,,@NastyWoman057 @omeagoz @Guis_Larcia @HummelTown Anyone opposed to gay marriage has obviously never been to a gay wedding 😎
473,,,"Wait, people are still against gay marriage?"
474,,"Tuscaloosa, AL",AL folks get crzy abt gay marriage and interracial relationships which don’t hurt anyone but won’t pass laws banning people from
475,,"Ottawa, Ontario","@Aella_Girl Being a person who is not straight, I would imagine I would support gay marriage."
476,,Buttsex Arkansaw,@kanugaboy @TigretheLion Than why didn't it take until millenials for gay marriage to be accepted? Actually gay people in general?
477,,Kansas,I started my faith transition by defending the church’s position on gay marriage... until I couldn’t anymore.
478,,New England,"@CIA I hope it tanks now, as a result of their recent reversal on gay marriage."
479,,,@Deadspin For a country that just repealed same sex marriage they sure look gay #BoycottBermuda
480,,Next door,"@rejialex7 He was pro gay rights, too?  Islamic nations are leading the world in gay marriage?"
481,,"Black Belt, Alabama",Bermuda’s delegation wearing Bermuda shorts for the #OpeningCeremony is why that country can’t have gay marriage.
482,,"Scotland, UK, Christendom ",@dg115511 Before gay marriage we had 2 genders and no LGBTQ in schools.
483,,"Scotland, UK, Christendom ","@dg115511 The overton window was shifted because of gay marriage though, we'd still have 2 genders if not for that."
484,,Norway,"Gay relationship are fine, even marriage. But draw the line there"
485,,CA,@Jayemmbee23 @snipy What rights do gay Americans not have? Opposing gay marriage doesn’t make you afraid of gay people lol
486,,"Bristol, UK",@chadfelixg He was talking about that in the context of gay marriage. His meaning is perfectly clear
487,,,"if you’re against gay marriage solely based on the whole “marriage is between a man and woman” bs, you’re the worst kind of person. period."
488,,,"@LeftofSanity @chadfelixg ""Gay marriage will lead to societal collapse""
Mike Pence"
489,,,"@chadfelixg The guy has made speeches stating Gay marriage will lead to societal collapse,
But he doesn't care about gays.
Okay"
490,,,@MiamiHerald Seems like consequence of working a religious organization who is openly against gay marriage. This isn’t news worthy
491,,Wiesbaden and Stockholm,@Comunardo I am pro gay marriage and I am pro voting rights for immigrants and I am pro full employment. Where does that put me?
492,,"New York, NY","Assume you (your physical body, same DNA) were born in 1925. Would you support gay marriage?"
493,,"Wichita, KS",@jonathanivan I have never eaten there and I won't ever bc of how they were back in 2012 when gay marriage was a hot topic
494,,Im 19 & Scottish ,@Chris_1791 @eelarson @guskenworthy @Adaripp Gay marriage isn't legal in South Korea so it's cool their being proud 👍
495,,Ted Cruz watches cuck porn.,@Armywifedecade @BitOfJules Here's a question. Should gay marriage be legal in the US?
496,,"Balnarring - Balnarring Beach, Victoria",@Barnaby_Joyce ps... I thanks for opposing gay marriage and protecting the sanctity of the commitment. Your hypocrisy is staggering
497,,"Best Western, Scotts Bluff",@Chandra461 ✔✔✔ They can have all they Gay Marriage they want but they'll never have Gay Holy Matrimony.
498,,,"@atheist_punk1 i do not think #gay is #unnatural.
however: i do think #marriage is."
499,,,@benshapiro Pro gay marriage... but I get your point and it is real.
500,,"Atlanta, GA","@MajorPaynEX Man, listen... this is like 66% of the reason I was here for gay marriage. Gay divorce court would KILL on like... VH1"
501,,"Scotland, United Kingdom",Disappointed in Bermuda repealing their gay marriage law! So much for equality in our world!
502,,"Scotland, United Kingdom",@TheLastLeg #IsItOk that Bermuda has taken a massive step backwards repealing their gay marriage law? #somuchforequality
503,,Treason & Espionage Cartel Rus,"America,

Get Ready to Laugh at
Supreme Court

Gay Marriage
Under Arrest

Ohhhh, Lord
Help the 
United States of America"
504,,,you wont believe what these 14 chicago hot dogs had to say about gay marriage anyway bird sounds
505,,United Kingdom,"@Sc_Meerkat @BBCNews But if there was a referendum, you would vote against marriage equality for gay people, correct?"
506,,,@AlanKillen1 @SonjhonMatthias @HummelTown @benshapiro Dave was a lefty until gay marriage passed. Now he's just in it for the money.
507,,,@RhinoinLA @politico Villaraigosa openly supports gay marriage since the 1994.
508,,London,#isitok that Bermuda has just repealed gay marriage. It's a British Overseas Territory &amp; the UK will not intervene. @thelastleg
509,,,"@FoxNews @TheView @JoyVBehar As a Democrat, you should be offended by abortion and gay marriage instead."
510,,,@TheJawarhalahl @jimmykimmel Gay marriage doesn't exist. It is marriage.
511,,"Denver, CO",@kvheraa might need to rule out gay marriage then 🤔
512,,Lost,@harbjar @dopeslim_1 Only for you to find out he is gay after marriage 😥
513,,Suburban NYC,@PhxKen That was before his epiphany on ILLEGALS &amp; gay marriage! By epiphany I mean ELECTION!!
514,,"Indiana, USA",@aigkenham @Momto5Wifeof1 I objected to GAY MARRIAGE because marriage is a Biblical principle. I was for any other name but marriage.
515,,Liz Trish,@chumpstain_ @progressultra @inzaynfiya @Storm_Cloud99 @KurtGOATbain Yes Gay marriage but we ain’t there yet xx
516,,getting higghhh,How can someone not believe in God but still be against gay marriage?
517,,,@Machaizelli Canada is lit fam we legalized gay marriage a long ass time ago
518,,,@benshapiro And his whole non-funny restaurant bit  is just a dumb straw man attack. Was there a pro gay marriage message on the salad ?
519,,Lives in Glasgow from Westmids,@OmarV09241992 @imagamerds @bootytai @emsawarrior @Jeanne0256 @kylegriffin1 You're aganst Gay marriage?  You evil hateful little boy..
520,,,I support gay marriage
521,,,CNN’s 2scoops Brooke Baldwin attacks Fox for preferring traditional marriage an Judeo Christian values over gay unions that CNN calls normal
522,,,@benshapiro If he won't hire out for an anti gay marriage event - sue him.
523,,"he/him, sonia, l(g)btq+","@minyardsmalec @panmazikeen that's sad💀 if anything gay marriage, in france, made homophobia grow so like......"
524,,,@brndonflynn @panmazikeen lol straight people think homophobia ended with gay marriage 😩
525,,,"Yeah just because a country ""legalized"" gay marriage homophobia doesn't exist anymore"
526,,Film Production,@StacheESQ @Seany_Hale What is Pence doing that is illegal? That he doesn’t agree with gay marriage is not an argument.
527,,,@MikePenceVP Is it true that gay conversion therapy helped to save your marriage?
528,,,@benshapiro Payment? Why are you anti gay marriage
529,,,@ShawneeRanch @jimmykimmel Gay marriage doesn't exist. It is marriage.
530,,Bahamas,I heard if you have sex before marriage you turn gay forever
531,,UK,@SuperstarLonely @LWOS_MJC Is gay marriage legal in USA?
532,,USA,"@benshapiro How can you make opposition to gay marriage ""comedy"" though?"
533,,,"How does one claim to love God, yet support abortion, gay marriage, and taking God out of pretty much everything? 🤔"
534,,,@Redpainter1 this is what the conservatives were warning us about.  First it starts with gay marriage they said.
535,,The Netherlands,@Ikanamify @VolcelGoth Yall gay real nwords wanna ruin onos marriage by havin an affair w his wife
536,,,@ChuyChristo @muhmentions then why even mention ur stance on gay marriage/trans in the military. has literally nothing to do with anything 😂
537,,Europapark with Yas,"@KatyLewy9 Ooh my that’s the worst, my dad is ok with that thankfully but still he said he’s against gay marriage"
538,,,@krassenstein GOP always go against what they do ..just like they are so against gay marriage ..uno they are gay ! weird hypocrisy
539,,"Toronto, Ontario, Canada",.@TGranicAllen Where do you stand on gay marriage? We have a right to know since you want to be Premier. #onpoli #cdnpoli
540,,,Bermuda repeals gay marriage. Sales of tropical alcoholic beverages predicted to plummet... Shot yourself in the foot...tsk.
541,,,"""So, why do you think youd fit into the US Army?""
""I want Iran to have gay marriage""
""Youre hired"""
542,,,@ChuyChristo @muhmentions tfw u think being pro gay marriage makes u a liberal
543,,"St Paul, MN",@mpeterdaughter should have tweeted this when Australia legalised gay marriage
544,,,@handymayhem What about gay marriage?
545,,the District,#Bermuda your pink sands have blackened with the shameful roll-back of gay marriage...#BoycottBermuda
546,,london,@BorisJohnson attacked for not intervening in Bermuda decision to overturn gay marriage law. I wasn't aware Boris was elected in Berrmuda
547,,"Manchester, England","@LindaPeters64 @Bermuda Linda, are you aware #bermuda has banned gay marriage? Please consider #BoycottBermuda ."
548,,"Manchester, England",@Bermuda @nicci72185 Have you any gay marriage venues?
549,,,@PolitiBunny Your missing the point of gay marriage it's not about rights it's about forcing acceptance
550,,,@panerabread @irok_yo_world gay marriage is a thing we could do this
551,,Norfolk UK,Bermuda becomes first state to repeal gay marriage law. The tide is turning?
552,,,@nicolasDenver @realDonaldTrump Gay marriage.
553,,United States,@Lioness0129 Your country will FOREVER be known as the first country to rescind gay marriage. That's an ugly award to get.
554,,Krypton,"""Are you against gay marriage?""

Actually I'm against all marriage."
555,,,No gay marriage
556,,United Kingdom,"@SGAMormon They already changed doctrine by making it a man and A woman. So, maybe they'll accept gay marriage too!"
557,,"Toronto, Ontario, Canada","Alright, where does @TGranicAllen stand on gay marriage? We have a right to know. @PAFE4 #PCPOLdr #onpoli #cdnpoli"
558,,"Toronto, Ontario, Canada",@michaelcoren @OntarioPCParty Is she indeed opposed to gay marriage?
559,,"Your house, tonight.","Hey dude, if you don't support gay marriage maybe you should stop watching girl on girl porn!"
560,,  In Du Page County IL.,@realjimconroy @JTMann05 @realDonaldTrump Gay marriage LOL what a joke that’s a social issue and that does not help The other 98%
561,,,"@adhikab Yes, they also rolled back on gay marriage. It’s a great look....:-("
562,,Glamaz0ns,"@ameliagmcmillan I wouldn't say ""yass queens"" since they just released gay marriage"
563,,Madinah,@shannonrwatts @humanworkplace Gay marriage will  always be wrong no matter how beautiful perverts try to make it.
564,,,@THESLAMMMMER Yes Repeal GAY CIVIL UNIONS NOT MARRIAGE
